,City,Country,Lat,Lng,Hotel Name
151,Gīdam,IN,18.98,81.4,
152,Wanning,CN,18.8,110.4,
153,Lázaro Cárdenas,MX,17.96,-102.2,
154,Chui,UY,-33.7,-53.46,
155,Alice Springs,AU,-23.7,133.88,
156,Kruisfontein,ZA,-34.0,24.73,
157,Komsomol'skoye,RU,55.26,47.55,
158,North Bend,US,43.41,-124.22,
159,Meulaboh,ID,4.14,96.13,
160,Laguna,US,38.42,-121.42,
161,Hirara,JP,24.8,125.28,
162,Mariehamn,AX,60.1,19.93,
163,Khatanga,RU,71.97,102.5,
164,Atambua,ID,-9.11,124.89,
165,Kananga,CD,-5.9,22.42,
166,Mahébourg,MU,-20.41,57.7,
167,Vavuniya,LK,8.75,80.5,
168,Boca do Acre,BR,-8.75,-67.4,
169,Avarua,CK,-21.21,-159.78,
170,Hithadhoo,MV,-0.6,73.08,
171,Fort Nelson,CA,58.81,-122.7,
172,Nome,US,64.5,-165.41,
173,La Maná,EC,-0.93,-79.22,
174,Irtyshskiy,RU,58.33,68.13,
175,Altay,CN,47.87,88.12,
176,Chittarkonda,IN,18.12,82.08,
177,Vila Franca do Campo,PT,37.72,-25.43,
178,Staryy Nadym,RU,65.61,72.68,
179,Tinskoy,RU,56.15,96.92,
180,Mossamedes,AO,-15.2,12.15,
181,Chenzhou,CN,25.8,113.03,
182,Mundra,IN,22.85,69.73,
183,Rocha,UY,-34.48,-54.33,
184,Wattegama,LK,6.8,81.48,
185,Ntoum,GA,0.38,9.78,
186,Panalingaan,PH,8.78,117.42,
187,Acapulco de Juárez,MX,16.86,-99.89,
188,Husavik,IS,66.04,-17.34,
189,Port Hardy,CA,50.7,-127.42,
190,Gēdo,ET,9.02,37.45,
191,Bengkulu,ID,-3.8,102.27,
192,Ponta do Sol,PT,32.67,-17.1,
193,Mae Hong Son,TH,19.3,97.97,
194,Pedasí,PA,7.53,-80.03,
195,Tasiilaq,GL,65.61,-37.64,
196,East London,ZA,-33.02,27.91,
197,Provideniya,RU,64.38,-173.3,
198,Areia Branca,BR,-4.96,-37.14,
199,Dikson,RU,73.51,80.55,
200,Juegang,CN,32.32,121.19,
201,Esso,RU,55.93,158.7,
202,Shache,CN,38.42,77.24,
203,George Town,MY,5.41,100.34,
204,Morón,AR,-34.65,-58.62,
205,Grand Gaube,MU,-20.01,57.66,
206,Porto-Novo,BJ,6.5,2.6,
207,Khovd,MN,48.01,91.64,
208,Menongue,AO,-14.66,17.69,
209,Sobolevo,RU,54.43,31.9,
210,Wawa,NG,9.9,4.42,
211,Dakar,SN,14.69,-17.44,
212,Olafsvik,IS,64.89,-23.71,
213,Wamba,NG,8.93,8.6,
214,Bontang,ID,0.13,117.5,
215,Aquiraz,BR,-3.9,-38.39,
